category,exposure_us,n_frames,reference_sets,reference_frames,image_mean_adu,external_reference_mean_residual_adu,external_reference_std_median_adu,external_reference_std_mean_adu,external_reference_std_p99_adu,positive_z_gt_4_38_pixel_frames,positive_z_gt_4_38_fraction,max_positive_z,frames_with_positive_outlier,max_frame_outlier_fraction
dark,25,8,20,160,10.322196960449219,0.0,0.8063232805174377,0.8192850854187018,1.2192765150390563,419,4.1162887933202554e-05,13.87865258010231,8,4.715557567526784e-05
dark,27,8,20,160,10.319502830505371,0.0,0.8063232805174377,0.8193153013869122,1.2189540830580017,390,3.831390523615512e-05,12.070492415332291,8,4.5583723152758914e-05
dark,34,8,20,160,10.31834888458252,0.0,0.8063232805174377,0.8192809056560848,1.2199758933366855,439,4.3127703586338715e-05,13.39811739017509,8,5.7372617071575877e-05
dark,49,8,20,160,10.320712089538574,0.0,0.8063232805174377,0.8193236373443061,1.2202432997938664,411,4.037696167194809e-05,14.786949924896458,8,5.1085206981540166e-05
dark,81,8,20,160,10.32190990447998,0.0,0.8063232805174377,0.8192930906967847,1.2183638055498056,420,4.1261128715859365e-05,9.751942210884051,8,4.715557567526784e-05
dark,144,8,20,160,10.32166862487793,0.0,0.8063232805174377,0.8192792509467042,1.2199211233394605,408,4.008223932397767e-05,10.706713980315945,8,4.872742819777677e-05
dark,272,8,20,160,10.318574905395508,0.0,0.8063232805174377,0.8193047708152207,1.2192765150390563,379,3.723325662693024e-05,13.021554654067081,8,4.4011870630249985e-05
dark,522,8,20,160,10.322807312011719,0.0,0.8063232805174377,0.8192946197235212,1.2199211233394605,397,3.9001590714752776e-05,11.518748185751951,8,5.3442985765303553e-05
dark,985,8,20,160,10.3193359375,0.0,0.8068106321971811,0.8192850299513678,1.2186315657661921,413,4.0573443237261705e-05,13.217254883116421,8,5.02992807202857e-05
dark,1757,8,20,160,10.319064140319824,0.0,0.8063232805174377,0.8192966090280495,1.2199211233394605,403,3.9591035410693625e-05,11.199823903524276,8,4.479779689150445e-05
dark,2867,8,20,160,10.321649551391602,0.0,0.8063232805174377,0.8192503176224385,1.2205653912076306,408,4.008223932397767e-05,14.308284568712983,8,5.187113324279463e-05
dark,4156,8,20,160,10.32111930847168,0.0,0.8063232805174377,0.8192829788536279,1.2195988617770184,399,3.919807228006639e-05,14.765625157971892,8,4.636964941401338e-05
dark,5240,8,20,160,10.321192741394043,0.0,0.8063232805174377,0.8192538845887261,1.2192765150390563,401,3.939455384538001e-05,11.919925418941476,8,4.951335445903124e-05
dark,5670,8,20,160,10.318577766418457,0.0,0.8063232805174377,0.8192535569413373,1.2199211233394605,398,3.909983149740959e-05,17.91085851789638,8,4.794150193652231e-05
dark,5815,8,20,160,10.319182395935059,0.0,0.8063232805174377,0.8192209232444075,1.2199211233394605,445,4.3717148282279564e-05,11.233592467110178,8,4.794150193652231e-05
dark,5952,8,20,160,10.319907188415527,0.0,0.8063232805174377,0.8192219663245692,1.2199211233394605,433,4.253825889039787e-05,10.065189911035235,8,5.580076454906695e-05
dark,6080,8,20,160,10.320839881896973,0.0,0.8063232805174377,0.8192517342836554,1.2199211233394605,434,4.263649967305468e-05,14.07082664042817,8,4.951335445903124e-05
dark,6197,8,20,160,10.318537712097168,0.0,0.8063232805174377,0.8192987571076931,1.2199211233394605,404,3.9689276193350436e-05,9.951498760800149,8,5.265705950404909e-05
dark,6301,8,20,160,10.321264266967773,0.0,0.8063232805174377,0.8192750956946268,1.2186315657661921,425,4.17523326291434e-05,12.504369865541635,8,4.5583723152758914e-05
dark,6387,8,20,160,10.3171968460083,0.0,0.8063232805174377,0.8192371480849184,1.2195988617770184,420,4.1261128715859365e-05,17.7195102261329,8,4.951335445903124e-05
dark,6443,8,20,160,10.322914123535156,0.0,0.8063232805174377,0.8192399330162007,1.2189540830580017,417,4.096640636788894e-05,11.076489507999755,8,5.02992807202857e-05
bright,25,8,20,160,26.019351959228516,0.0,26.667118706860443,26.703074927217028,31.709157358356453,0,0.0,0.6890198415095528,0,0.0
bright,27,8,20,160,25.9670467376709,0.0,26.667111336700323,26.703085219148953,31.70909537592331,0,0.0,0.6258875160047362,0,0.0
bright,34,8,20,160,32.83451843261719,0.0,26.664863343113502,26.70081920913264,31.706915624625655,0,0.0,0.6487954680924158,0,0.0
bright,49,8,20,160,39.658958435058594,0.0,26.66250458871777,26.69861064835263,31.70584100404156,0,0.0,0.8190154604635048,0,0.0
bright,81,8,20,160,60.25950622558594,0.0,26.65563352730785,26.691724052550818,31.69997941566975,0,0.0,0.9542073231403484,0,0.0
bright,144,8,20,160,94.55255889892578,0.0,26.64461548964809,26.680510170704814,31.6908963079975,0,0.0,1.2350180686362566,0,0.0
bright,272,8,20,160,176.89288330078125,0.0,26.616791999641904,26.652973044456246,31.666774991428078,0,0.0,1.7037751054136676,0,0.0
bright,522,8,20,160,327.8446960449219,0.0,26.56702098041075,26.602326776068477,31.623469460895084,0,0.0,2.5730007641933117,0,0.0
bright,985,8,20,160,601.9739990234375,0.0,26.472484825384047,26.507241729779487,31.53822453654374,0,0.0,3.247508382916329,0,0.0
bright,1757,8,20,160,1068.537353515625,0.0,26.303800811040944,26.339278905913368,31.387828380432033,1,9.824078265680801e-08,4.4921765002914835,1,7.859262612544641e-07
bright,2867,8,20,160,1737.943115234375,0.0,26.061143031352806,26.097548110251108,31.154329529418266,155,1.5227321311805242e-05,5.810858762576141,8,2.122000905387053e-05
bright,4156,8,20,160,2507.43115234375,0.0,25.781450232689178,25.819542905168372,30.865025060938674,2292,0.00022516787384940396,6.503348357112199,8,0.00028764901161913383
bright,5240,8,20,160,3158.400146484375,0.0,25.5480494399999,25.586064955466828,30.606750884164835,8396,0.00082482961118656,8.390363576946454,8,0.0008920263065238167
bright,5670,8,20,160,3413.41455078125,0.0,25.461140078324267,25.498899262281586,30.508904257506703,12333,0.001211603572506413,8.488651178567547,8,0.0012606257230521603
bright,5815,8,20,160,3492.868896484375,0.0,25.436395580462776,25.475560461011476,30.469674711818005,13483,0.0013245804725617425,8.098120352690158,8,0.0013965909662491827
bright,5952,8,20,160,3571.174560546875,0.0,25.415509304508284,25.452614711618924,30.449846639597492,14680,0.0014421746894019416,7.665266884017364,8,0.001573424375031437
bright,6080,8,20,160,3648.9990234375,0.0,25.387252285671885,25.425103866895615,30.412948898319616,16515,0.0016224465255771842,8.489739344090152,8,0.001856357829083044
bright,6197,8,20,160,3712.555419921875,0.0,25.341798693192423,25.37999963201138,30.34740554948137,19186,0.0018848476560535184,8.599481651635788,8,0.0031185554046577134
bright,6301,8,20,160,3770.574951171875,0.0,25.353654234031193,25.39084147126753,30.370073169791077,18430,0.0018105776243649717,7.78902288558758,8,0.0019404519390372717
bright,6387,8,20,160,3821.11474609375,0.0,25.342015849091357,25.379599354511814,30.346155455731065,19056,0.0018720763543081335,8.629076646988795,8,0.0023397024797545394
bright,6443,8,20,160,3856.753662109375,0.0,25.334398769386443,25.37220137291177,30.33755326925327,19784,0.0019435956440822897,8.626249423559784,8,0.002005683818721392
