relative_window,category,exposure_us,reference_sets,reference_frames,positive_z_gt_4_38_pixel_frames,positive_z_gt_4_38_fraction,max_positive_z
0.1,dark,25,1,8,,,
0.1,dark,27,1,8,,,
0.1,dark,34,0,0,,,
0.1,dark,49,0,0,,,
0.1,dark,81,0,0,,,
0.1,dark,144,0,0,,,
0.1,dark,272,0,0,,,
0.1,dark,522,0,0,,,
0.1,dark,985,0,0,,,
0.1,dark,1757,0,0,,,
0.1,dark,2867,0,0,,,
0.1,dark,4156,0,0,,,
0.1,dark,5240,1,8,,,
0.1,dark,5670,5,40,849,8.340642447563e-05,14.42479777310514
0.1,dark,5815,7,56,666,6.542836124943413e-05,14.077174468059422
0.1,dark,5952,7,56,645,6.336530481364117e-05,12.816028730346293
0.1,dark,6080,7,56,663,6.51336389014637e-05,20.025300452873314
0.1,dark,6197,7,56,663,6.51336389014637e-05,12.48949138107646
0.1,dark,6301,6,48,722,7.092984507821538e-05,16.0817252795465
0.1,dark,6387,6,48,714,7.014391881696092e-05,16.267748450220136
0.1,dark,6443,6,48,735,7.220697525275389e-05,15.51733351466045
0.1,bright,25,1,8,,,
0.1,bright,27,1,8,,,
0.1,bright,34,0,0,,,
0.1,bright,49,0,0,,,
0.1,bright,81,0,0,,,
0.1,bright,144,0,0,,,
0.1,bright,272,0,0,,,
0.1,bright,522,0,0,,,
0.1,bright,985,0,0,,,
0.1,bright,1757,0,0,,,
0.1,bright,2867,0,0,,,
0.1,bright,4156,0,0,,,
0.1,bright,5240,1,8,,,
0.1,bright,5670,5,40,411,4.037696167194809e-05,6.752786769016429
0.1,bright,5815,7,56,255,2.5051399577486043e-05,5.894331485289261
0.1,bright,5952,7,56,247,2.4265473316231578e-05,5.70355805601857
0.1,bright,6080,7,56,302,2.966871636235602e-05,5.905701530089531
0.1,bright,6197,7,56,397,3.9001590714752776e-05,6.34659702017638
0.1,bright,6301,6,48,385,3.7822701322871086e-05,5.889227540171354
0.1,bright,6387,6,48,428,4.204705497711383e-05,6.521880422296424
0.1,bright,6443,6,48,450,4.42083521955636e-05,5.831640193946542
0.25,dark,25,1,8,,,
0.25,dark,27,1,8,,,
0.25,dark,34,1,8,,,
0.25,dark,49,0,0,,,
0.25,dark,81,0,0,,,
0.25,dark,144,0,0,,,
0.25,dark,272,0,0,,,
0.25,dark,522,0,0,,,
0.25,dark,985,0,0,,,
0.25,dark,1757,0,0,,,
0.25,dark,2867,0,0,,,
0.25,dark,4156,0,0,,,
0.25,dark,5240,9,72,531,5.216585559076505e-05,13.62289170619299
0.25,dark,5670,8,64,561,5.5113079070469294e-05,15.893995840366415
0.25,dark,5815,8,64,618,6.071280368190735e-05,13.748724996318396
0.25,dark,5952,8,64,585,5.747085785423268e-05,12.807841574017223
0.25,dark,6080,8,64,594,5.835502489814396e-05,14.587445903298198
0.25,dark,6197,8,64,605,5.943567350736884e-05,12.61233809883013
0.25,dark,6301,8,64,602,5.914095115939842e-05,15.959731624829576
0.25,dark,6387,8,64,582,5.717613550626226e-05,16.710934119579797
0.25,dark,6443,8,64,594,5.835502489814396e-05,13.753341839884076
0.25,bright,25,1,8,,,
0.25,bright,27,1,8,,,
0.25,bright,34,1,8,,,
0.25,bright,49,0,0,,,
0.25,bright,81,0,0,,,
0.25,bright,144,0,0,,,
0.25,bright,272,0,0,,,
0.25,bright,522,0,0,,,
0.25,bright,985,0,0,,,
0.25,bright,1757,0,0,,,
0.25,bright,2867,0,0,,,
0.25,bright,4156,0,0,,,
0.25,bright,5240,9,72,122,1.1985375484130577e-05,6.0620167122951045
0.25,bright,5670,8,64,177,1.7388618530255016e-05,5.95784109098832
0.25,bright,5815,8,64,216,2.122000905387053e-05,6.064148270030623
0.25,bright,5952,8,64,239,2.3479547054977114e-05,5.551499465534935
0.25,bright,6080,8,64,274,2.6917974447965393e-05,6.049887148910658
0.25,bright,6197,8,64,378,3.7135015844273426e-05,6.366821327802923
0.25,bright,6301,8,64,344,3.379482923394195e-05,6.031108109620701
0.25,bright,6387,8,64,366,3.595612645239173e-05,6.0498032485549
0.25,bright,6443,8,64,370,3.634908958301896e-05,5.905328642292555
0.5,dark,25,2,16,3276,0.00032183680398370306,13.772111407898896
0.5,dark,27,2,16,3266,0.00032085439615713496,17.576580162613144
0.5,dark,34,3,24,1642,0.00016131136512247875,18.57529721610577
0.5,dark,49,3,24,1721,0.0001690723869523666,20.166267213674754
0.5,dark,81,1,8,,,
0.5,dark,144,1,8,,,
0.5,dark,272,1,8,,,
0.5,dark,522,1,8,,,
0.5,dark,985,1,8,,,
0.5,dark,1757,1,8,,,
0.5,dark,2867,2,16,3289,0.0003231139341582415,19.257375703541275
0.5,dark,4156,7,56,639,6.277586011770031e-05,14.946741141624049
0.5,dark,5240,10,80,507,4.980807680700166e-05,14.186500395737523
0.5,dark,5670,10,80,495,4.862918741511996e-05,16.989367566663166
0.5,dark,5815,9,72,576,5.658669081032141e-05,13.694729965733382
0.5,dark,5952,9,72,539,5.2951781852019516e-05,12.617966487981134
0.5,dark,6080,9,72,562,5.52113198531261e-05,15.322823569945868
0.5,dark,6197,9,72,548,5.3835948895930786e-05,12.667405797670538
0.5,dark,6301,9,72,575,5.648845002766461e-05,14.765784579759881
